Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,pickup_time,Order_Month,Distance,Time_taken (min),Time_pickup_(Min),Order_Day
33.0,4.9,Sunny,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,,3,10.72,22.0,15.0,8.0
20.0,4.7,Windy,High,1,Snack,scooter,0.0,No,Urban,,4,6.13,10.0,10.0,3.0
20.0,4.8,Sandstorms,Low,2,Meal,scooter,1.0,No,Metropolitian,,3,1.52,19.0,9.98,30.0
35.0,5.0,Sunny,Low,2,Snack,scooter,1.0,No,Urban,,4,3.07,11.0,10.0,1.0
26.0,4.9,Stormy,Low,2,Buffet,scooter,0.0,No,Metropolitian,,3,3.11,11.0,15.0,28.0
22.0,4.8,Fog,Low,1,Snack,motorcycle,1.0,No,Metropolitian,,3,10.87,28.0,9.98,18.0
35.0,4.3,Cloudy,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,,3,10.87,33.0,5.0,14.0
29.566910587697237,4.8,Cloudy,Medium,1,Drinks,scooter,1.0,No,Metropolitian,,4,12.24,33.0,9.98,6.0
37.0,4.7,Sandstorms,Jam,0,Snack,motorcycle,3.0,No,Metropolitian,,4,13.68,52.0,5.0,4.0
28.0,4.6,Stormy,Jam,1,Snack,scooter,1.0,No,Metropolitian,,3,16.83,22.0,15.0,8.0
37.0,4.9,Fog,Low,1,Snack,scooter,1.0,No,Urban,,2,3.03,16.0,9.98,13.0
23.0,4.9,Sunny,Jam,2,Drinks,electric_scooter,0.0,No,Metropolitian,,3,9.18,11.0,5.0,24.0
27.0,4.9,Windy,Medium,1,Drinks,scooter,1.0,No,Metropolitian,,3,9.32,25.0,9.98,19.0
37.0,4.8,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Urban,,3,6.21,26.0,10.0,9.0
33.0,5.0,Sunny,High,2,Snack,scooter,1.0,No,Metropolitian,,3,1.52,18.0,10.0,19.0
31.0,4.9,Fog,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,,4,6.04,16.0,5.0,3.0
31.0,4.8,Stormy,Low,2,Drinks,scooter,1.0,No,Metropolitian,,3,17.08,23.0,10.0,25.0
25.0,5.0,Cloudy,Low,0,Snack,motorcycle,0.0,No,Metropolitian,,2,4.72,15.0,15.0,13.0
28.0,4.8,Sandstorms,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,,4,12.46,36.0,10.0,4.0
31.0,4.7,Cloudy,Low,2,Snack,motorcycle,0.0,No,Metropolitian,,3,9.12,16.0,15.0,26.0
24.0,4.7,Sunny,Medium,0,Buffet,motorcycle,0.0,No,Urban,,3,14.02,19.0,9.98,10.0
39.0,4.6,Sunny,Low,1,Snack,motorcycle,1.0,No,Metropolitian,,2,13.39,27.0,9.98,14.0
39.0,4.2,Fog,Jam,2,Snack,scooter,1.0,No,Semi-Urban,,3,12.58,49.0,15.0,2.0
32.0,4.5,Windy,Low,2,Buffet,scooter,0.0,No,Metropolitian,,3,1.49,20.0,15.0,26.0
36.0,4.7,Cloudy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,,3,9.44,30.0,5.0,13.0
25.0,4.8,Sandstorms,Low,1,Drinks,scooter,0.0,No,Urban,,3,11.92,18.0,10.0,29.0
33.0,4.9,Sunny,Jam,2,Drinks,scooter,0.0,No,Metropolitian,,3,4.66,22.0,9.98,30.0
30.0,4.4,Cloudy,Low,2,Drinks,scooter,1.0,No,Metropolitian,,3,10.64,34.0,15.0,12.0
33.0,5.0,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,Urban,,3,16.82,24.0,5.0,31.0
36.0,4.9,Fog,Medium,2,Drinks,scooter,1.0,No,Metropolitian,,3,6.13,17.0,15.0,17.0
21.0,4.8,Sandstorms,Low,2,Meal,electric_scooter,0.0,No,Metropolitian,,2,3.0,14.0,10.0,15.0
39.0,4.9,Stormy,Jam,2,Meal,motorcycle,1.0,No,Metropolitian,,2,7.34,30.0,9.98,15.0
23.0,4.8,Stormy,Low,1,Meal,scooter,1.0,No,Metropolitian,,3,3.15,15.0,10.0,7.0
35.0,4.8,Fog,Medium,2,Buffet,scooter,1.0,No,Urban,,3,6.29,16.0,10.0,28.0
39.0,4.6,Cloudy,Jam,1,Snack,scooter,1.0,No,Metropolitian,,3,13.97,36.0,5.0,16.0
22.0,4.7,Sunny,High,1,Buffet,scooter,1.0,No,Urban,,3,6.08,18.0,5.0,17.0
32.0,4.6,Fog,Medium,1,Meal,scooter,0.0,No,Metropolitian,,3,6.08,17.0,15.0,15.0
24.0,4.8,Sandstorms,Low,1,Buffet,motorcycle,1.0,No,Urban,,3,12.58,15.0,5.0,25.0
29.0,4.7,Fog,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,,3,3.15,17.0,10.0,9.0
29.566910587697237,4.8,Fog,Low,1,Drinks,scooter,0.0,No,Metropolitian,,3,6.21,19.0,9.98,11.0
26.0,4.7,Fog,Low,1,Buffet,motorcycle,0.0,No,Metropolitian,,3,9.22,10.0,15.0,5.0
20.0,4.5,Fog,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,,2,7.86,27.0,15.0,11.0
35.0,4.1,Sandstorms,Jam,1,Buffet,motorcycle,2.0,No,Metropolitian,,3,13.97,37.0,15.0,12.0
39.0,4.6,Fog,Jam,1,Drinks,scooter,2.0,No,Metropolitian,,3,13.97,44.0,9.98,29.0
34.0,4.7,Windy,High,2,Drinks,electric_scooter,1.0,No,Metropolitian,,3,6.06,28.0,10.0,19.0
27.0,4.7,Cloudy,Jam,2,Snack,scooter,1.0,No,Metropolitian,,3,17.08,42.0,9.98,10.0
30.0,4.8,Windy,Low,1,Snack,motorcycle,1.0,No,Metropolitian,,2,17.3,25.0,15.0,16.0
25.0,4.4,Cloudy,Medium,2,Snack,scooter,1.0,No,Metropolitian,,3,17.07,39.0,5.0,27.0
25.0,4.7,Stormy,Medium,0,Meal,motorcycle,0.0,No,Urban,,3,16.82,20.0,5.0,27.0
30.0,5.0,Stormy,High,1,Buffet,motorcycle,1.0,No,Metropolitian,,3,2.98,31.0,5.0,24.0
24.0,4.6,Stormy,Jam,1,Buffet,motorcycle,0.0,No,Metropolitian,,3,9.22,13.0,10.0,9.0
39.0,4.8,Stormy,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,,3,7.66,28.0,15.0,3.0
25.0,4.8,Windy,High,1,Snack,scooter,1.0,No,Urban,,2,6.18,19.0,5.0,15.0
37.0,4.6,Fog,Low,0,Buffet,motorcycle,2.0,Yes,Urban,,2,12.21,42.0,15.0,18.0
24.0,5.0,Fog,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,,3,1.55,23.0,5.0,1.0
25.0,4.2,Stormy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,,3,16.9,39.0,15.0,23.0
32.0,4.6,Stormy,Low,2,Drinks,motorcycle,1.0,No,Metropolitian,,4,1.51,25.0,10.0,1.0
34.0,4.7,Sandstorms,Low,1,Drinks,scooter,0.0,No,Metropolitian,,2,6048.63,15.0,9.98,16.0
38.0,4.9,Cloudy,Low,2,Drinks,scooter,1.0,No,Urban,,3,3.03,15.0,15.0,11.0
36.0,4.8,Sunny,Medium,2,Buffet,electric_scooter,0.0,No,Metropolitian,,3,13.41,15.0,5.0,14.0
25.0,5.0,Stormy,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,,3,16.72,15.0,15.0,18.0
29.0,5.0,Sunny,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,,4,7.77,18.0,5.0,1.0
36.0,4.7,Sandstorms,Low,2,Drinks,electric_scooter,0.0,No,Metropolitian,,4,13.77,29.0,10.0,4.0
33.0,4.7,Fog,Low,0,Snack,motorcycle,0.0,No,Metropolitian,,3,7.79,20.0,5.0,11.0
36.0,4.4,Cloudy,High,2,Meal,scooter,1.0,No,Metropolitian,,3,6.22,39.0,15.0,13.0
21.0,4.8,Windy,Low,0,Snack,motorcycle,0.0,No,Metropolitian,,3,16.85,19.0,15.0,4.0
25.0,4.8,Cloudy,Low,1,Snack,scooter,1.0,No,Urban,,3,4.61,19.0,15.0,26.0
23.0,4.8,Windy,Low,0,Meal,motorcycle,0.0,No,Metropolitian,,3,19.88,17.0,9.98,16.0
25.0,4.6,Stormy,Low,2,Snack,motorcycle,1.0,No,Urban,,3,1.56,15.0,15.0,1.0
24.0,4.3,Sandstorms,Low,0,Meal,motorcycle,0.0,No,Urban,,3,3.03,19.0,9.98,15.0
27.0,4.6,Sandstorms,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,,3,13.97,29.0,15.0,4.0
23.0,4.8,Cloudy,Low,2,Snack,scooter,1.0,No,Urban,,3,16.83,22.0,5.0,18.0
21.0,4.3,Fog,Jam,1,Drinks,scooter,0.0,No,Metropolitian,,3,20.21,42.0,10.0,23.0
27.0,4.7,Sandstorms,Low,2,Snack,scooter,0.0,No,Urban,,3,3.04,12.0,15.0,15.0
32.0,4.2,Cloudy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,,3,20.25,38.0,10.0,8.0
25.0,4.6,Sunny,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,,3,16.72,23.0,15.0,10.0
39.0,4.7,Cloudy,Low,1,Meal,scooter,0.0,No,Metropolitian,,2,2.98,15.0,15.0,11.0
27.0,4.6,Sunny,Low,0,Snack,motorcycle,1.0,No,Metropolitian,,3,12.16,24.0,5.0,14.0
39.0,3.8,Windy,Jam,1,Drinks,motorcycle,0.0,No,Metropolitian,,3,16.82,37.0,9.98,16.0
31.0,4.8,Sandstorms,Low,1,Snack,scooter,0.0,No,Metropolitian,,3,7.76,24.0,10.0,1.0
31.0,4.8,Sunny,Low,2,Buffet,electric_scooter,0.0,No,Metropolitian,,3,9.06,13.0,5.0,1.0
20.0,4.8,Cloudy,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,,3,1.55,16.0,15.0,30.0
36.0,4.9,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Urban,,3,12.07,42.0,10.0,2.0
20.0,4.9,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,,3,13.58,17.0,10.0,20.0
24.0,4.6,Cloudy,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,,4,4.47,25.0,15.0,3.0
29.566910587697237,4.8,Fog,Low,3,Snack,electric_scooter,0.0,No,Metropolitian,,4,16.66,25.0,9.98,2.0
39.0,4.2,Fog,Medium,1,Snack,scooter,0.0,No,Metropolitian,,3,16.63,39.0,5.0,29.0
37.0,4.8,Sunny,High,2,Meal,scooter,0.0,No,Metropolitian,,3,6.23,18.0,10.0,17.0
32.0,4.9,Sandstorms,Medium,2,Drinks,motorcycle,1.0,No,Metropolitian,,3,6.21,28.0,9.98,17.0
22.0,4.5,Sandstorms,Low,1,Drinks,scooter,1.0,No,Metropolitian,,2,7.46,18.0,15.0,15.0
23.0,4.9,Windy,Low,1,Meal,scooter,0.0,No,Metropolitian,,3,20.25,18.0,9.98,18.0
33.0,4.7,Fog,Jam,1,Snack,scooter,1.0,No,Metropolitian,,3,16.6,49.0,10.0,8.0
23.0,4.8,Sunny,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,,2,4.54,15.0,10.0,17.0
27.0,4.6,Sunny,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,,3,12.42,21.0,5.0,31.0
34.0,4.7,Sunny,High,2,Snack,scooter,0.0,No,Metropolitian,,3,6.12,23.0,15.0,1.0
26.0,5.0,Fog,Low,2,Meal,scooter,1.0,No,Urban,,4,1.52,11.0,10.0,3.0
31.0,4.6,Cloudy,Jam,0,Snack,motorcycle,0.0,No,Metropolitian,,3,9.09,25.0,15.0,24.0
32.0,4.9,Fog,Low,2,Snack,motorcycle,0.0,No,Metropolitian,,3,3.06,18.0,5.0,7.0
27.0,4.7,Cloudy,Low,1,Buffet,motorcycle,0.0,No,Metropolitian,,3,3.03,14.0,9.98,9.0
21.0,4.9,Windy,Medium,0,Drinks,motorcycle,2.0,No,Metropolitian,,3,13.97,36.0,9.98,12.0
28.0,4.8,Fog,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,,3,7.76,18.0,5.0,24.0
24.0,4.9,Fog,Medium,1,Meal,scooter,1.0,No,Urban,,3,6.29,17.0,15.0,30.0
33.0,4.4,Sandstorms,Low,0,Snack,motorcycle,1.0,No,Metropolitian,,3,1.54,28.0,10.0,5.0
20.0,4.6,Fog,Jam,0,Buffet,motorcycle,0.0,Yes,Metropolitian,,3,13.97,44.0,15.0,18.0
31.0,4.3,Windy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,,3,9.35,20.0,15.0,13.0
29.566910587697237,4.8,Stormy,Low,2,Snack,scooter,0.0,No,Metropolitian,,3,4.6,19.0,9.98,9.0
36.0,5.0,Fog,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,,3,10.6,35.0,10.0,31.0
31.0,4.2,Sandstorms,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,,3,17.08,50.0,10.0,23.0
39.0,4.1,Stormy,Jam,1,Meal,scooter,1.0,No,Metropolitian,,3,9.22,34.0,5.0,24.0
29.0,4.6,Sunny,Jam,2,Meal,electric_scooter,1.0,No,Metropolitian,,3,12.16,17.0,15.0,12.0
29.0,4.6,Sandstorms,High,1,Snack,scooter,0.0,No,Urban,,3,6.08,23.0,9.98,3.0
37.0,4.9,Fog,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,,3,4.67,27.0,10.0,9.0
33.0,4.7,Cloudy,High,0,Snack,motorcycle,0.0,No,Urban,,3,6.29,26.0,10.0,17.0
31.0,3.9,Cloudy,Low,1,Buffet,scooter,1.0,No,Metropolitian,,3,10.71,35.0,10.0,18.0
37.0,4.6,Windy,High,0,Drinks,motorcycle,1.0,No,Urban,,3,6.29,41.0,5.0,19.0
26.0,4.4,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,,3,9.31,23.0,10.0,7.0
24.0,4.6,Stormy,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,,3,17.14,30.0,9.98,4.0
23.0,4.8,Windy,Low,1,Buffet,scooter,1.0,No,Metropolitian,,4,3.15,19.0,10.0,3.0
36.0,4.9,Windy,Low,1,Buffet,scooter,1.0,No,Metropolitian,,3,1.57,27.0,15.0,11.0
39.0,4.8,Cloudy,High,0,Snack,motorcycle,1.0,No,Metropolitian,,4,6.22,28.0,15.0,1.0
20.0,4.7,Sandstorms,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,,3,12.46,24.0,10.0,20.0
20.0,5.0,Cloudy,Jam,0,Meal,motorcycle,1.0,No,Urban,,3,20.21,36.0,15.0,31.0
29.0,4.3,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,,2,9.08,28.0,5.0,13.0
36.0,4.8,Fog,Medium,2,Drinks,motorcycle,1.0,No,Urban,,3,17.14,31.0,5.0,29.0
36.0,4.0,Sunny,Jam,0,Meal,motorcycle,3.0,No,Metropolitian,,3,13.63,44.0,5.0,16.0
22.0,4.8,Windy,Low,1,Drinks,scooter,1.0,No,Metropolitian,,3,12.07,15.0,15.0,14.0
38.0,4.4,Windy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,,3,10.72,33.0,5.0,31.0
39.0,4.9,Fog,Jam,0,Buffet,motorcycle,0.0,No,Metropolitian,,3,7.6,30.0,15.0,17.0
24.0,4.9,Stormy,Medium,1,Snack,scooter,1.0,No,Metropolitian,,3,7.56,22.0,10.0,28.0
30.0,4.1,Fog,Low,0,Snack,motorcycle,0.0,No,Metropolitian,,4,11.01,43.0,9.98,4.0
35.0,4.8,Fog,Medium,0,Meal,motorcycle,3.0,No,Metropolitian,,3,13.83,48.0,10.0,4.0
33.0,4.5,Stormy,Low,2,Drinks,electric_scooter,1.0,No,Metropolitian,,3,13.97,19.0,9.98,4.0
39.0,4.7,Windy,Medium,1,Snack,motorcycle,1.0,No,Urban,,2,10.92,21.0,5.0,14.0
31.0,4.3,Windy,Jam,1,Drinks,motorcycle,0.0,No,Metropolitian,,3,12.12,44.0,10.0,25.0
37.0,4.5,Windy,Low,2,Drinks,scooter,0.0,No,Metropolitian,,3,1.55,26.0,15.0,17.0
37.0,4.7,Windy,Low,1,Buffet,scooter,1.0,No,Metropolitian,,4,4.66,26.0,5.0,1.0
33.0,5.0,Windy,High,1,Meal,motorcycle,1.0,No,Metropolitian,,3,1.53,31.0,5.0,19.0
24.0,4.6,Stormy,Low,2,Meal,scooter,1.0,No,Urban,,3,9.44,19.0,15.0,7.0
33.0,4.5,Sunny,Jam,1,Snack,scooter,0.0,No,Metropolitian,,3,11.92,18.0,5.0,2.0
39.0,4.7,Fog,Medium,2,Meal,motorcycle,1.0,No,Metropolitian,,2,10.49,38.0,9.98,16.0
37.0,4.6,Cloudy,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,,3,13.58,32.0,10.0,29.0
25.0,4.9,Sandstorms,Low,2,Meal,scooter,1.0,No,Metropolitian,,3,7.68,17.0,5.0,7.0
28.0,4.8,Fog,Medium,1,Buffet,scooter,1.0,No,Urban,,3,9.19,11.0,9.98,3.0
38.0,4.7,Windy,High,2,Buffet,motorcycle,1.0,No,Metropolitian,,3,6.22,31.0,10.0,30.0
29.566910587697237,4.8,Sandstorms,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,,3,10.43,43.0,9.98,12.0
31.0,4.6,Windy,Medium,0,Meal,motorcycle,0.0,No,Metropolitian,,3,9.33,25.0,10.0,19.0
25.0,4.8,Cloudy,Jam,2,Snack,motorcycle,1.0,No,Metropolitian,,3,9.18,22.0,15.0,15.0
35.0,4.9,Fog,Jam,0,Drinks,motorcycle,3.0,No,Metropolitian,,3,10.88,43.0,5.0,2.0
39.0,4.7,Fog,Jam,0,Buffet,motorcycle,1.0,Yes,Metropolitian,,3,10.57,42.0,10.0,31.0
38.0,3.9,Stormy,Jam,1,Meal,motorcycle,0.0,No,Metropolitian,,3,12.1,42.0,10.0,6.0
35.0,4.7,Fog,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,,3,4.66,34.0,10.0,21.0
29.0,4.7,Sandstorms,Low,1,Snack,motorcycle,1.0,No,Metropolitian,,3,2.98,17.0,15.0,1.0
27.0,4.6,Stormy,Jam,1,Snack,scooter,0.0,No,Metropolitian,,3,4.56,25.0,5.0,24.0
38.0,4.3,Sandstorms,Jam,0,Meal,motorcycle,1.0,Yes,Semi-Urban,,4,13.99,54.0,10.0,4.0
36.0,4.9,Windy,Low,2,Buffet,motorcycle,0.0,No,Metropolitian,,3,10.64,21.0,9.98,2.0
26.0,4.0,Cloudy,High,1,Buffet,motorcycle,1.0,No,Metropolitian,,4,6.15,34.0,9.98,1.0
26.0,4.1,Fog,Jam,2,Meal,motorcycle,1.0,No,Metropolitian,,2,13.43,36.0,5.0,12.0
36.0,4.9,Sunny,Medium,1,Drinks,motorcycle,0.0,No,Metropolitian,,4,9.33,17.0,10.0,5.0
21.0,4.7,Sunny,Low,0,Meal,motorcycle,1.0,No,Metropolitian,,3,1.49,16.0,9.98,3.0
35.0,4.7,Sunny,Jam,2,Meal,electric_scooter,1.0,No,Metropolitian,,4,12.42,27.0,9.98,6.0
20.0,4.5,Fog,High,2,Meal,motorcycle,1.0,No,Metropolitian,,3,6.22,26.0,5.0,17.0
23.0,4.6,Fog,Jam,0,Snack,motorcycle,2.0,Yes,Metropolitian,,3,13.79,46.0,15.0,31.0
37.0,5.0,Sunny,Jam,0,Buffet,motorcycle,0.0,No,Metropolitian,,2,9.08,29.0,10.0,17.0
26.0,4.8,Sandstorms,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,,3,9.32,23.0,5.0,9.0
29.0,5.0,Sandstorms,Low,1,Snack,scooter,1.0,No,Urban,,3,12.16,11.0,15.0,27.0
26.0,4.9,Stormy,Medium,1,Snack,motorcycle,0.0,No,Metropolitian,,3,16.64,28.0,15.0,25.0
29.0,4.8,Cloudy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,,3,9.19,25.0,5.0,11.0
29.0,4.7,Sandstorms,Low,2,Snack,motorcycle,0.0,No,Metropolitian,,3,3.02,11.0,15.0,3.0
21.0,4.9,Windy,Medium,1,Meal,scooter,1.0,No,Metropolitian,,2,4.4,26.0,10.0,15.0
22.0,4.3,Stormy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,,3,3.11,23.0,15.0,7.0
31.0,4.0,Fog,Medium,1,Snack,motorcycle,2.0,No,Metropolitian,,3,11.92,39.0,15.0,18.0
20.0,4.5,Fog,Low,1,Snack,motorcycle,0.0,No,Metropolitian,,4,3.12,11.0,9.98,3.0
30.0,3.9,Stormy,Jam,2,Drinks,electric_scooter,1.0,No,Metropolitian,,4,12.12,32.0,15.0,6.0
36.0,4.8,Fog,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,,3,10.87,43.0,15.0,6.0
24.0,4.7,Fog,Medium,1,Buffet,scooter,1.0,No,Metropolitian,,3,6.22,13.0,10.0,19.0
32.0,4.7,Windy,Low,2,Buffet,electric_scooter,0.0,No,Metropolitian,,3,1.55,25.0,10.0,21.0
25.0,5.0,Windy,Medium,1,Drinks,motorcycle,0.0,No,Metropolitian,,3,9.31,27.0,5.0,19.0
27.0,4.5,Windy,Medium,2,Drinks,scooter,1.0,No,Metropolitian,,3,6.15,29.0,15.0,28.0
32.0,4.1,Sandstorms,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,,3,10.87,33.0,15.0,29.0
23.0,4.7,Fog,Medium,1,Drinks,motorcycle,1.0,No,Urban,,3,6.21,19.0,9.98,17.0
39.0,4.4,Sunny,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,,3,20.18,33.0,5.0,29.0
20.0,4.8,Fog,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,,3,9.44,28.0,5.0,21.0
20.0,4.8,Windy,Medium,2,Drinks,electric_scooter,0.0,No,Metropolitian,,3,11.92,15.0,10.0,4.0
29.0,4.6,Stormy,Jam,1,Meal,scooter,1.0,No,Metropolitian,,2,4.49,29.0,15.0,15.0
26.0,4.9,Stormy,Low,2,Meal,scooter,1.0,No,Metropolitian,,3,20.85,18.0,9.98,29.0
25.0,5.0,Stormy,Low,1,Meal,motorcycle,1.0,No,Metropolitian,,2,1.56,14.0,9.98,13.0
34.0,4.7,Windy,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,,4,6.21,30.0,9.98,3.0
31.0,4.9,Sunny,High,0,Snack,motorcycle,0.0,No,Metropolitian,,2,6.18,28.0,15.0,13.0
